School Year,School Code,District Number,School Number,District Name,School Name,Gender,Ethnicity,Type,Graduates with Diploma in 4 years,Graduates with Diploma but IEP allowed 4+ years,Graduates with Diploma in 4+ years,Certificates of Completion or GED,Total Graduates or Completers,AFGR Graduates,Grade 9 Membership,Grade 10 Membership,AFGR Average Membership,AFGR Grad Rate,District Factors Impacting AFGR**
2011 ,571230 ,571 ,230 ,Warren County ,Greenwood High School ,Total ,Asian ,A1 ,*** ,*** ,*** ,*** ,*** ,*** ,*** ,*** ,*** ,*** ,  
2012 ,575 ,575 ,  ,Washington County ,DISTRICT TOTAL ,Total ,Total ,A1 ,140 ,0 ,0 ,0 ,140 ,140 ,155 ,146 ,150.5 ,93.0 ,"A,D "
2011 ,575 ,575 ,  ,Washington County ,DISTRICT TOTAL ,Total ,Total ,A1 ,142 ,0 ,2 ,0 ,144 ,142 ,172 ,155 ,163.5 ,86.9 ,"A,D "
2010 ,575 ,575 ,  ,Washington County ,DISTRICT TOTAL ,Total ,Total ,A1 ,121 ,20 ,1 ,2 ,144 ,141 ,215 ,162 ,188.5 ,74.8 ,"A,D "
2009 ,575 ,575 ,  ,Washington County ,DISTRICT TOTAL ,Total ,Total ,A1 ,134 ,5 ,2 ,3 ,144 ,139 ,207 ,171 ,189.0 ,73.5 ,"A,D "
2008 ,575 ,575 ,  ,Washington County ,DISTRICT TOTAL ,Total ,Total ,A1 ,135 ,0 ,1 ,0 ,136 ,135 ,191 ,189 ,190.0 ,71.1 ,"A,D "
2012 ,575 ,575 ,  ,Washington County ,DISTRICT TOTAL ,Female ,Total ,A1 ,71 ,0 ,0 ,0 ,71 ,71 ,72 ,70 ,71.0 ,100.0 ,"A,D "
2011 ,575 ,575 ,  ,Washington County ,DISTRICT TOTAL ,Female ,Total ,A1 ,71 ,0 ,1 ,0 ,72 ,71 ,81 ,78 ,79.5 ,89.3 ,"A,D "
2010 ,575 ,575 ,  ,Washington County ,DISTRICT TOTAL ,Female ,Total ,A1 ,67 ,7 ,0 ,0 ,74 ,74 ,97 ,82 ,89.5 ,82.7 ,"A,D "
2009 ,575 ,575 ,  ,Washington County ,DISTRICT TOTAL ,Female ,Total ,A1 ,74 ,3 ,0 ,2 ,79 ,77 ,93 ,80 ,86.5 ,89.0 ,"A,D "
2008 ,575 ,575 ,  ,Washington County ,DISTRICT TOTAL ,Female ,Total ,A1 ,64 ,0 ,0 ,0 ,64 ,64 ,87 ,85 ,86.0 ,74.4 ,"A,D "
2012 ,575 ,575 ,  ,Washington County ,DISTRICT TOTAL ,Male ,Total ,A1 ,69 ,0 ,0 ,0 ,69 ,69 ,83 ,76 ,79.5 ,86.8 ,"A,D "
2011 ,575 ,575 ,  ,Washington County ,DISTRICT TOTAL ,Male ,Total ,A1 ,71 ,0 ,1 ,0 ,72 ,71 ,91 ,77 ,84.0 ,84.5 ,"A,D "
2010 ,575 ,575 ,  ,Washington County ,DISTRICT TOTAL ,Male ,Total ,A1 ,54 ,13 ,1 ,2 ,70 ,67 ,118 ,80 ,99.0 ,67.7 ,"A,D "
2009 ,575 ,575 ,  ,Washington County ,DISTRICT TOTAL ,Male ,Total ,A1 ,60 ,2 ,2 ,1 ,65 ,62 ,114 ,91 ,102.5 ,60.5 ,"A,D "
2008 ,575 ,575 ,  ,Washington County ,DISTRICT TOTAL ,Male ,Total ,A1 ,71 ,0 ,1 ,0 ,72 ,71 ,104 ,104 ,104.0 ,68.3 ,"A,D "
2012 ,575 ,575 ,  ,Washington County ,DISTRICT TOTAL ,Total ,White ,A1 ,120 ,0 ,0 ,0 ,120 ,120 ,136 ,124 ,130.0 ,92.3 ,"A,D "
2011 ,575 ,575 ,  ,Washington County ,DISTRICT TOTAL ,Total ,White ,A1 ,122 ,0 ,2 ,0 ,124 ,122 ,147 ,130 ,138.5 ,88.1 ,"A,D "
2010 ,575 ,575 ,  ,Washington County ,DISTRICT TOTAL ,Total ,White ,A1 ,109 ,17 ,1 ,2 ,129 ,126 ,187 ,145 ,166.0 ,75.9 ,"A,D "
2009 ,575 ,575 ,  ,Washington County ,DISTRICT TOTAL ,Total ,White ,A1 ,118 ,4 ,2 ,3 ,127 ,122 ,176 ,151 ,163.5 ,74.6 ,"A,D "
2008 ,575 ,575 ,  ,Washington County ,DISTRICT TOTAL ,Total ,White ,A1 ,124 ,0 ,0 ,0 ,124 ,124 ,173 ,172 ,172.5 ,71.9 ,"A,D "
2012 ,575 ,575 ,  ,Washington County ,DISTRICT TOTAL ,Total ,Afr. Am. ,A1 ,13 ,0 ,0 ,0 ,13 ,13 ,15 ,17 ,16.0 ,81.3 ,"A,D "
2011 ,575 ,575 ,  ,Washington County ,DISTRICT TOTAL ,Total ,Afr. Am. ,A1 ,15 ,0 ,0 ,0 ,15 ,15 ,20 ,20 ,20.0 ,75.0 ,"A,D "
2010 ,575 ,575 ,  ,Washington County ,DISTRICT TOTAL ,Total ,Afr. Am. ,A1 ,8 ,3 ,0 ,0 ,11 ,11 ,19 ,14 ,16.5 ,66.7 ,"A,D "
2009 ,575 ,575 ,  ,Washington County ,DISTRICT TOTAL ,Total ,Afr. Am. ,A1 ,14 ,1 ,0 ,0 ,15 ,15 ,28 ,16 ,22.0 ,68.2 ,"A,D "
2008 ,575 ,575 ,  ,Washington County ,DISTRICT TOTAL ,Total ,Afr. Am. ,A1 ,10 ,0 ,0 ,0 ,10 ,10 ,15 ,15 ,15.0 ,66.7 ,"A,D "
2012 ,575 ,575 ,  ,Washington County ,DISTRICT TOTAL ,Total ,Hispanic ,A1 ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,  
2011 ,575 ,575 ,  ,Washington County ,DISTRICT TOTAL ,Total ,Hispanic ,A1 ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,  
2010 ,575 ,575 ,  ,Washington County ,DISTRICT TOTAL ,Total ,Hispanic ,A1 ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,  
2009 ,575 ,575 ,  ,Washington County ,DISTRICT TOTAL ,Total ,Hispanic ,A1 ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,  
2008 ,575 ,575 ,  ,Washington County ,DISTRICT TOTAL ,Total ,Hispanic ,A1 ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,  
2012 ,575 ,575 ,  ,Washington County ,DISTRICT TOTAL ,Total ,Asian ,A1 ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,  
2011 ,575 ,575 ,  ,Washington County ,DISTRICT TOTAL ,Total ,Asian ,A1 ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,  
2010 ,575 ,575 ,  ,Washington County ,DISTRICT TOTAL ,Total ,Asian ,A1 ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,  
2009 ,575 ,575 ,  ,Washington County ,DISTRICT TOTAL ,Total ,Asian ,A1 ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,  
2008 ,575 ,575 ,  ,Washington County ,DISTRICT TOTAL ,Total ,Asian ,A1 ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,  
2012 ,575074 ,575 ,074 ,Washington County ,Washington County High School ,Total ,Total ,A1 ,140 ,0 ,0 ,0 ,140 ,140 ,155 ,146 ,150.5 ,93.0 ,"A,D "
2011 ,575074 ,575 ,074 ,Washington County ,Washington County High School ,Total ,Total ,A1 ,142 ,0 ,2 ,0 ,144 ,142 ,172 ,155 ,163.5 ,86.9 ,"A,D "
2010 ,575074 ,575 ,074 ,Washington County ,Washington County High School ,Total ,Total ,A1 ,121 ,20 ,1 ,2 ,144 ,141 ,201 ,162 ,181.5 ,77.7 ,"A,D "
2009 ,575074 ,575 ,074 ,Washington County ,Washington County High School ,Total ,Total ,A1 ,134 ,5 ,2 ,3 ,144 ,139 ,185 ,158 ,171.5 ,81.1 ,"A,D "
2008 ,575074 ,575 ,074 ,Washington County ,Washington County High School ,Total ,Total ,A1 ,135 ,0 ,1 ,0 ,136 ,135 ,179 ,173 ,176.0 ,76.7 ,"A,D "
2012 ,575074 ,575 ,074 ,Washington County ,Washington County High School ,Female ,Total ,A1 ,71 ,0 ,0 ,0 ,71 ,71 ,72 ,70 ,71.0 ,100.0 ,"A,D "
2011 ,575074 ,575 ,074 ,Washington County ,Washington County High School ,Female ,Total ,A1 ,71 ,0 ,1 ,0 ,72 ,71 ,81 ,78 ,79.5 ,89.3 ,"A,D "
2010 ,575074 ,575 ,074 ,Washington County ,Washington County High School ,Female ,Total ,A1 ,67 ,7 ,0 ,0 ,74 ,74 ,97 ,82 ,89.5 ,82.7 ,"A,D "
2009 ,575074 ,575 ,074 ,Washington County ,Washington County High School ,Female ,Total ,A1 ,74 ,3 ,0 ,2 ,79 ,77 ,90 ,80 ,85.0 ,90.6 ,"A,D "
2008 ,575074 ,575 ,074 ,Washington County ,Washington County High School ,Female ,Total ,A1 ,64 ,0 ,0 ,0 ,64 ,64 ,83 ,81 ,82.0 ,78.1 ,"A,D "
2012 ,575074 ,575 ,074 ,Washington County ,Washington County High School ,Male ,Total ,A1 ,69 ,0 ,0 ,0 ,69 ,69 ,83 ,76 ,79.5 ,86.8 ,"A,D "
2011 ,575074 ,575 ,074 ,Washington County ,Washington County High School ,Male ,Total ,A1 ,71 ,0 ,1 ,0 ,72 ,71 ,91 ,77 ,84.0 ,84.5 ,"A,D "
2010 ,575074 ,575 ,074 ,Washington County ,Washington County High School ,Male ,Total ,A1 ,54 ,13 ,1 ,2 ,70 ,67 ,104 ,80 ,92.0 ,72.8 ,"A,D "
2009 ,575074 ,575 ,074 ,Washington County ,Washington County High School ,Male ,Total ,A1 ,60 ,2 ,2 ,1 ,65 ,62 ,95 ,78 ,86.5 ,71.7 ,"A,D "
2008 ,575074 ,575 ,074 ,Washington County ,Washington County High School ,Male ,Total ,A1 ,71 ,0 ,1 ,0 ,72 ,71 ,96 ,92 ,94.0 ,75.5 ,"A,D "
2012 ,575074 ,575 ,074 ,Washington County ,Washington County High School ,Total ,White ,A1 ,120 ,0 ,0 ,0 ,120 ,120 ,136 ,124 ,130.0 ,92.3 ,"A,D "
2011 ,575074 ,575 ,074 ,Washington County ,Washington County High School ,Total ,White ,A1 ,122 ,0 ,2 ,0 ,124 ,122 ,147 ,130 ,138.5 ,88.1 ,"A,D "
2010 ,575074 ,575 ,074 ,Washington County ,Washington County High School ,Total ,White ,A1 ,109 ,17 ,1 ,2 ,129 ,126 ,178 ,145 ,161.5 ,78.0 ,"A,D "
2009 ,575074 ,575 ,074 ,Washington County ,Washington County High School ,Total ,White ,A1 ,118 ,4 ,2 ,3 ,127 ,122 ,161 ,140 ,150.5 ,81.1 ,"A,D "
2008 ,575074 ,575 ,074 ,Washington County ,Washington County High School ,Total ,White ,A1 ,124 ,0 ,0 ,0 ,124 ,124 ,164 ,162 ,163.0 ,76.1 ,"A,D "
2012 ,575074 ,575 ,074 ,Washington County ,Washington County High School ,Total ,Afr. Am. ,A1 ,13 ,0 ,0 ,0 ,13 ,13 ,15 ,17 ,16.0 ,81.3 ,"A,D "
2011 ,575074 ,575 ,074 ,Washington County ,Washington County High School ,Total ,Afr. Am. ,A1 ,15 ,0 ,0 ,0 ,15 ,15 ,20 ,20 ,20.0 ,75.0 ,"A,D "
2010 ,575074 ,575 ,074 ,Washington County ,Washington County High School ,Total ,Afr. Am. ,A1 ,8 ,3 ,0 ,0 ,11 ,11 ,16 ,14 ,15.0 ,73.3 ,"A,D "
2009 ,575074 ,575 ,074 ,Washington County ,Washington County High School ,Total ,Afr. Am. ,A1 ,14 ,1 ,0 ,0 ,15 ,15 ,21 ,14 ,17.5 ,85.7 ,"A,D "
2008 ,575074 ,575 ,074 ,Washington County ,Washington County High School ,Total ,Afr. Am. ,A1 ,10 ,0 ,0 ,0 ,10 ,10 ,12 ,9 ,10.5 ,95.2 ,"A,D "
2012 ,575074 ,575 ,074 ,Washington County ,Washington County High School ,Total ,Hispanic ,A1 ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,  
2011 ,575074 ,575 ,074 ,Washington County ,Washington County High School ,Total ,Hispanic ,A1 ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,  
2010 ,575074 ,575 ,074 ,Washington County ,Washington County High School ,Total ,Hispanic ,A1 ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,  
2009 ,575074 ,575 ,074 ,Washington County ,Washington County High School ,Total ,Hispanic ,A1 ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,  
2008 ,575074 ,575 ,074 ,Washington County ,Washington County High School ,Total ,Hispanic ,A1 ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,  
2012 ,575074 ,575 ,074 ,Washington County ,Washington County High School ,Total ,Asian ,A1 ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,  
2011 ,575074 ,575 ,074 ,Washington County ,Washington County High School ,Total ,Asian ,A1 ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,  
2010 ,575074 ,575 ,074 ,Washington County ,Washington County High School ,Total ,Asian ,A1 ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,  
